Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_29,VPWR,li1,19.5500,144.1600,1.799996
FILLER_48_9,VPWR,li1,10.1200,144.1600,1.799998
FILLER_48_6,VPWR,li1,8.9700,144.1600,1.799998
FILLER_48_3,VPWR,li1,7.5900,144.1600,1.799998
FILLER_47_319,VPWR,li1,152.4900,138.7200,1.799979
FILLER_47_316,VPWR,li1,151.5700,138.7200,1.799979
FILLER_47_313,VPWR,li1,150.1900,138.7200,1.799979
FILLER_47_290,VPWR,li1,139.3800,138.7200,1.799980
FILLER_47_287,VPWR,li1,138.2300,138.7200,1.799980
FILLER_47_284,VPWR,li1,136.8500,138.7200,1.799980
FILLER_47_281,VPWR,li1,135.4700,138.7200,1.799980
FILLER_47_279,VPWR,li1,134.0900,138.7200,1.799980
FILLER_47_269,VPWR,li1,129.7200,138.7200,1.799981
FILLER_47_240,VPWR,li1,116.1500,138.7200,1.799984
FILLER_47_237,VPWR,li1,115.2300,138.7200,1.799984
FILLER_47_234,VPWR,li1,113.8500,138.7200,1.799985
FILLER_47_231,VPWR,li1,112.4700,138.7200,1.799986
FILLER_47_228,VPWR,li1,111.0900,138.7200,1.799986
FILLER_47_225,VPWR,li1,109.7100,138.7200,1.799987
FILLER_47_221,VPWR,li1,107.8700,138.7200,1.799987
FILLER_47_218,VPWR,li1,106.4900,138.7200,1.799987
FILLER_47_212,VPWR,li1,103.2700,138.7200,1.799990
FILLER_47_209,VPWR,li1,102.3500,138.7200,1.799990
FILLER_47_206,VPWR,li1,100.9700,138.7200,1.799992
FILLER_47_203,VPWR,li1,99.5900,138.7200,1.799991
FILLER_47_181,VPWR,li1,89.0100,138.7200,1.799989
FILLER_47_178,VPWR,li1,88.0900,138.7200,1.799988
FILLER_47_175,VPWR,li1,86.7100,138.7200,1.799988
FILLER_47_172,VPWR,li1,85.3300,138.7200,1.799988
FILLER_47_169,VPWR,li1,83.9500,138.7200,1.799987
FILLER_47_167,VPWR,li1,82.5700,138.7200,1.799987
FILLER_47_152,VPWR,li1,75.9000,138.7200,1.799985
FILLER_47_149,VPWR,li1,74.7500,138.7200,1.799985
FILLER_47_146,VPWR,li1,73.3700,138.7200,1.799985
FILLER_47_143,VPWR,li1,71.9900,138.7200,1.799985
FILLER_47_140,VPWR,li1,70.6100,138.7200,1.799985
FILLER_47_127,VPWR,li1,64.1700,138.7200,1.799983
FILLER_47_124,VPWR,li1,63.2500,138.7200,1.799983
FILLER_47_113,VPWR,li1,57.7300,138.7200,1.799981
FILLER_47_109,VPWR,li1,56.3500,138.7200,1.799981
FILLER_47_100,VPWR,li1,51.7500,138.7200,1.799980
FILLER_47_97,VPWR,li1,50.8300,138.7200,1.799980
FILLER_47_86,VPWR,li1,45.3100,138.7200,1.799982
FILLER_47_83,VPWR,li1,44.3900,138.7200,1.799983
FILLER_47_80,VPWR,li1,43.0100,138.7200,1.799984
FILLER_47_77,VPWR,li1,41.6300,138.7200,1.799984
FILLER_47_74,VPWR,li1,40.2500,138.7200,1.799985
FILLER_47_63,VPWR,li1,35.1900,138.7200,1.799986
FILLER_47_54,VPWR,li1,30.8200,138.7200,1.799988
FILLER_47_51,VPWR,li1,29.6700,138.7200,1.799989
FILLER_47_48,VPWR,li1,28.2900,138.7200,1.799990
FILLER_47_45,VPWR,li1,26.9100,138.7200,1.799990
FILLER_47_42,VPWR,li1,25.5300,138.7200,1.799991
FILLER_47_39,VPWR,li1,24.1500,138.7200,1.799991
FILLER_47_36,VPWR,li1,22.7700,138.7200,1.799991
FILLER_47_33,VPWR,li1,21.3900,138.7200,1.799992
FILLER_47_3,VPWR,li1,7.3600,138.7200,1.799997
FILLER_46_317,VPWR,li1,152.0300,138.7200,1.799979
FILLER_46_292,VPWR,li1,140.5300,138.7200,1.799979
FILLER_46_289,VPWR,li1,139.1500,138.7200,1.799980
FILLER_46_286,VPWR,li1,137.7700,138.7200,1.799980
FILLER_46_283,VPWR,li1,136.3900,138.7200,1.799980
FILLER_46_280,VPWR,li1,135.0100,138.7200,1.799980
FILLER_46_277,VPWR,li1,133.6300,138.7200,1.799980
FILLER_46_253,VPWR,li1,122.5900,138.7200,1.799982
FILLER_46_250,VPWR,li1,120.9800,138.7200,1.799983
FILLER_46_247,VPWR,li1,119.8300,138.7200,1.799983
FILLER_46_244,VPWR,li1,118.4500,138.7200,1.799984
FILLER_46_241,VPWR,li1,117.0700,138.7200,1.799984
FILLER_46_238,VPWR,li1,115.6900,138.7200,1.799984
FILLER_46_235,VPWR,li1,114.3100,138.7200,1.799985
FILLER_46_232,VPWR,li1,112.9300,138.7200,1.799985
FILLER_46_229,VPWR,li1,111.5500,138.7200,1.799986
FILLER_46_206,VPWR,li1,100.9700,138.7200,1.799992
FILLER_46_203,VPWR,li1,99.5900,138.7200,1.799991
FILLER_46_200,VPWR,li1,98.2100,138.7200,1.799991
FILLER_46_197,VPWR,li1,96.8300,138.7200,1.799991
FILLER_46_180,VPWR,li1,89.0100,138.7200,1.799989
FILLER_46_177,VPWR,li1,87.6300,138.7200,1.799988
FILLER_46_174,VPWR,li1,86.2500,138.7200,1.799988
FILLER_46_171,VPWR,li1,84.8700,138.7200,1.799988
FILLER_46_168,VPWR,li1,83.4900,138.7200,1.799987
FILLER_46_165,VPWR,li1,82.1100,138.7200,1.799987
FILLER_46_159,VPWR,li1,78.8900,138.7200,1.799986
FILLER_46_156,VPWR,li1,77.9700,138.7200,1.799986
FILLER_46_153,VPWR,li1,76.5900,138.7200,1.799986
FILLER_46_150,VPWR,li1,75.2100,138.7200,1.799985
FILLER_46_147,VPWR,li1,73.8300,138.7200,1.799985
FILLER_46_144,VPWR,li1,72.4500,138.7200,1.799985
FILLER_46_141,VPWR,li1,71.0700,138.7200,1.799985
FILLER_46_139,VPWR,li1,69.6900,138.7200,1.799984
FILLER_46_136,VPWR,li1,68.7700,138.7200,1.799984
FILLER_46_127,VPWR,li1,64.1700,138.7200,1.799983
FILLER_46_111,VPWR,li1,57.0400,138.7200,1.799981
FILLER_46_88,VPWR,li1,46.6900,138.7200,1.799982
FILLER_46_85,VPWR,li1,45.3100,138.7200,1.799982
FILLER_46_81,VPWR,li1,43.4700,138.7200,1.799983
FILLER_46_78,VPWR,li1,42.0900,138.7200,1.799984
FILLER_46_75,VPWR,li1,40.7100,138.7200,1.799985
FILLER_46_72,VPWR,li1,39.3300,138.7200,1.799985
FILLER_46_52,VPWR,li1,29.6700,138.7200,1.799989
